Singkatan;Kata Lain
tb;tbc
tuberkulosis;tbc
tuberculosis;tbc
pokja;kelompok kerja
germas;gerakan masyarakat hidup sehat
bimtek;bimbingan teknis
medsos;media sosial
sosmed;sosial media
tik;teknologi informasi dan komunikasi
design;desain
packing;kemasan
workshop;pelatihan
kk;kepala keluarga
sdn;sd
min;mi
smpn;smp
mtsn;mts
sman;sma
man;ma
satlinmas;satuan perlindungan masyarakat
jl;jalan
jln;jalan
pkl;penjual kaki lima
linmas;perlindungan masyarakat
rehab;rehabilitasi
revitalisasi;rehabilitasi
apar;alat pemadam api ringan
phbs;perilaku hidup bersih dan sehat
poktan;kelompok tani
gapoktan;gabungan kelompok tani
tabulampot;tanaman buah dalam pot
dikdas;pendidikan dasar
bat;bet
merek;merk
decor;dekor
sistim;sistem
